iter	Passed	Remaining
447	721	889
448	723	887
449	724	885
450	725	883
451	726	880
452	727	878
453	729	876
454	731	875
455	732	874
456	734	872
457	735	870
458	736	868
459	738	866
460	739	864
461	740	862
462	741	860
463	743	858
464	745	857
465	746	855
466	748	854
467	749	852
468	751	850
469	752	848
470	753	846
471	754	844
472	755	842
473	756	840
474	758	838
475	760	836
476	761	835
477	762	833
478	764	831
479	765	829
480	766	827
481	768	825
482	769	823
483	770	821
484	771	819
485	773	817
486	774	815
487	776	814
488	777	812
489	778	810
490	780	808
491	781	806
492	782	804
493	783	802
494	785	800
495	786	798
496	787	797
497	789	795
498	791	794
499	792	792
500	794	791
501	795	789
502	797	787
503	798	785
504	799	783
505	801	782
506	802	780
507	804	779
508	806	777
509	807	775
510	809	774
511	810	772
512	811	770
513	812	768
514	813	766
515	815	764
516	817	763
517	819	762
518	820	760
519	821	758
520	822	756
521	824	754
522	825	752
523	826	750
524	828	749
525	829	747
526	833	747
527	835	746
528	836	745
529	838	743
530	839	741
531	840	739
532	841	737
533	843	735
534	844	734
535	846	732
536	848	731
537	849	729
538	850	727
539	852	726
540	853	724
541	854	722
542	855	720
543	857	718
544	858	716
545	859	714
546	861	713
547	863	711
548	864	710
549	865	708
550	867	706
551	868	704
552	869	703
553	871	701
554	872	699
555	873	697
556	875	696
557	877	694
558	878	693
559	880	691
560	881	689
561	882	687
562	883	686
563	885	684
564	886	682
565	887	680
566	889	678
567	890	677
568	892	675
569	893	674
570	894	672
571	896	670
572	897	668
573	898	667
574	900	665
575	901	663
576	902	661
577	904	660
578	906	658
579	907	657
580	909	655
581	910	653
582	912	652
583	913	650
584	914	649
585	916	647
586	918	646
587	919	644
588	921	642
589	922	641
590	924	639
591	925	637
592	926	636
593	927	634
594	928	632
595	930	630
596	931	629
597	933	627
598	934	625
599	936	624
600	937	622
601	938	620
602	939	618
603	941	617
604	942	615
605	943	613
606	944	611
607	945	609
608	947	608
609	948	606
610	950	604
611	951	603
612	952	601
613	953	599
614	954	597
615	956	596
616	957	594
617	958	592
618	960	591
619	962	589
620	963	588
621	964	586
622	965	584
623	967	582
624	968	581
625	969	579
626	970	577
627	972	575
628	973	574
629	974	572
630	976	570
631	977	569
632	978	567
633	979	565
634	981	564
635	982	562
636	983	560
637	984	558
638	985	556
639	987	555
640	988	553
641	989	551
642	991	550
643	992	548
644	993	547
645	995	545
646	996	543
647	997	541
648	998	540
649	999	538
650	1001	536
651	1002	535
652	1003	533
653	1005	532
654	1006	530
655	1008	528
656	1009	526
657	1010	525
658	1011	523
659	1012	521
660	1014	520
661	1015	518
662	1016	516
663	1017	515
664	1019	513
665	1021	512
666	1022	510
667	1023	508
668	1024	507
669	1025	505
670	1027	503
671	1028	501
672	1030	500
673	1031	498
674	1032	497
675	1034	495
676	1035	494
677	1036	492
678	1038	490
679	1039	489
680	1040	487
681	1041	485
682	1043	484
683	1044	482
684	1045	480
685	1047	479
686	1048	477
687	1050	476
688	1051	474
689	1052	472
690	1053	471
691	1055	469
692	1056	468
693	1057	466
694	1058	464
695	1060	463
696	1061	461
697	1063	460
698	1064	458
699	1066	456
700	1067	455
701	1068	453
702	1069	451
703	1071	450
704	1072	448
705	1073	447
706	1074	445
707	1075	443
708	1077	442
709	1079	440
710	1080	439
711	1081	437
712	1082	435
713	1083	434
714	1085	432
715	1086	430
716	1087	429
717	1088	427
718	1090	426
719	1091	424
720	1093	423
721	1094	421
722	1096	419
723	1097	418
724	1098	416
725	1099	415
726	1100	413
727	1102	411
728	1103	410
729	1104	408
730	1106	407
731	1108	405
732	1110	404
733	1111	402
734	1112	401
735	1114	399
736	1115	398
737	1116	396
738	1117	394
739	1118	393
740	1121	391
741	1122	390
742	1123	388
743	1124	387
744	1126	385
745	1128	384
746	1129	382
747	1131	381
748	1132	379
749	1134	378
750	1136	376
751	1137	375
752	1138	373
753	1141	372
754	1143	370
755	1144	369
756	1146	367
757	1147	366
758	1150	365
759	1151	363
760	1153	362
761	1154	360
762	1155	358
763	1157	357
764	1158	355
765	1160	354
766	1161	352
767	1163	351
768	1165	350
769	1167	348
770	1168	346
771	1169	345
772	1171	344
773	1172	342
774	1174	340
775	1175	339
776	1178	338
777	1179	336
778	1181	335
779	1182	333
780	1183	331
781	1184	330
782	1186	328
783	1187	327
784	1188	325
785	1190	324
786	1191	322
787	1193	321
788	1194	319
789	1196	317
790	1197	316
791	1198	314
792	1200	313
793	1201	311
794	1202	310
795	1204	308
796	1205	307
797	1206	305
798	1208	304
799	1209	302
800	1210	300
801	1212	299
802	1213	297
803	1214	296
804	1215	294
805	1217	292
806	1218	291
807	1219	289
808	1220	288
809	1222	286
810	1223	285
811	1224	283
812	1226	282
813	1227	280
814	1228	278
815	1229	277
816	1231	275
817	1232	274
818	1233	272
819	1235	271
820	1237	269
821	1238	268
822	1239	266
823	1240	265
824	1242	263
825	1243	261
826	1245	260
827	1246	258
828	1247	257
829	1248	255
830	1250	254
831	1252	252
832	1253	251
833	1254	249
834	1255	248
835	1257	246
836	1258	245
837	1259	243
838	1260	241
839	1261	240
840	1263	238
841	1265	237
842	1266	235
843	1267	234
844	1269	232
845	1270	231
846	1271	229
847	1272	228
848	1274	226
849	1275	225
850	1276	223
851	1277	221
852	1279	220
853	1280	218
854	1282	217
855	1283	215
856	1284	214
857	1285	212
858	1287	211
859	1288	209
860	1289	208
861	1290	206
862	1291	205
863	1293	203
864	1295	202
865	1296	200
866	1298	199
867	1299	197
868	1300	196
869	1302	194
870	1303	193
871	1304	191
872	1305	189
873	1307	188
874	1308	186
875	1310	185
876	1311	184
877	1313	182
878	1314	180
879	1315	179
880	1316	177
881	1318	176
882	1319	174
883	1320	173
884	1321	171
885	1323	170
886	1324	168
887	1326	167
888	1327	165
889	1328	164
890	1329	162
891	1331	161
892	1332	159
893	1333	158
894	1334	156
895	1336	155
896	1337	153
897	1339	152
898	1340	150
899	1341	149
900	1342	147
901	1344	146
902	1345	144
903	1346	143
904	1347	141
905	1348	139
906	1350	138
907	1351	136
908	1353	135
909	1354	133
910	1355	132
911	1356	130
912	1358	129
913	1359	127
914	1361	126
915	1362	124
916	1363	123
917	1365	121
918	1366	120
919	1368	118
920	1369	117
921	1370	115
922	1371	114
923	1373	112
924	1374	111
925	1375	109
926	1377	108
927	1378	106
928	1379	105
929	1381	103
930	1382	102
931	1383	100
932	1385	99
933	1386	97
934	1387	96
935	1389	94
936	1390	93
937	1391	91
938	1392	90
939	1394	88
940	1395	87
941	1396	86
942	1398	84
943	1399	83
944	1400	81
945	1402	80
946	1403	78
947	1404	77
948	1405	75
949	1407	74
950	1408	72
951	1410	71
952	1411	69
953	1412	68
954	1414	66
955	1415	65
956	1416	63
957	1418	62
958	1419	60
959	1420	59
960	1421	57
961	1423	56
962	1425	54
963	1426	53
964	1428	51
965	1429	50
966	1430	48
967	1432	47
968	1433	45
969	1434	44
970	1436	42
971	1437	41
972	1439	39
973	1440	38
974	1441	36
975	1443	35
976	1444	34
977	1445	32
978	1447	31
979	1448	29
980	1449	28
981	1450	26
982	1452	25
983	1454	23
984	1455	22
985	1457	20
986	1458	19
987	1460	17
988	1461	16
989	1462	14
990	1464	13
991	1465	11
992	1467	10
993	1469	8
994	1470	7
995	1471	5
996	1472	4
997	1474	2
998	1475	1
999	1476	0
